modo,lidos,previos,inseridos,redundantes,comp_ordenacao,comp_busca,comp_total,tempo_ordenacao_s,tempo_verificacao_s,tempo_total_s
seq-iter,10,0,10,0,0,45,45,0.000000000,0.000002398,0.000002398
seq-rec,10,0,10,0,0,45,45,0.000000000,0.000002742,0.000002742
bin-iter,10,0,10,0,27,36,63,0.000001517,0.000003075,0.000004592
bin-rec,10,0,10,0,22,36,58,0.000001555,0.000003459,0.000005014
seq-iter,20,0,20,0,0,190,190,0.000000000,0.000005829,0.000005829
seq-rec,20,0,20,0,0,190,190,0.000000000,0.000006300,0.000006300
bin-iter,20,0,20,0,67,90,157,0.000002253,0.000005022,0.000007275
bin-rec,20,0,20,0,64,90,154,0.000003013,0.000004887,0.000007900
seq-iter,40,0,40,0,0,780,780,0.000000000,0.000010486,0.000010486
seq-rec,40,0,40,0,0,780,780,0.000000000,0.000018593,0.000018593
bin-iter,40,0,40,0,177,218,395,0.000004907,0.000007912,0.000012819
bin-rec,40,0,40,0,167,218,385,0.000005439,0.000008002,0.000013441
seq-iter,80,0,80,0,0,3160,3160,0.000000000,0.000025770,0.000025770
seq-rec,80,0,80,0,0,3160,3160,0.000000000,0.000065864,0.000065864
bin-iter,80,0,80,0,420,514,934,0.000009399,0.000014842,0.000024241
bin-rec,80,0,80,0,412,514,926,0.000010809,0.000014736,0.000025545
seq-iter,160,0,160,0,0,12720,12720,0.000000000,0.000087240,0.000087240
seq-rec,160,0,160,0,0,12720,12720,0.000000000,0.000180833,0.000180833
bin-iter,160,0,160,0,1004,1186,2190,0.000020209,0.000034973,0.000055182
bin-rec,160,0,160,0,966,1186,2152,0.000021668,0.000038812,0.000060480
seq-iter,320,0,320,0,0,51040,51040,0.000000000,0.000269793,0.000269793
seq-rec,320,0,320,0,0,51040,51040,0.000000000,0.000743053,0.000743053
bin-iter,320,0,320,0,2343,2690,5033,0.000043604,0.000064243,0.000107847
bin-rec,320,0,320,0,2264,2690,4954,0.000043656,0.000095830,0.000139486
seq-iter,640,0,640,0,0,204480,204480,0.000000000,0.001064071,0.001064071
seq-rec,640,0,640,0,0,204480,204480,0.000000000,0.002979997,0.002979997
bin-iter,640,0,640,0,5329,6018,11347,0.000093092,0.000196280,0.000289372
bin-rec,640,0,640,0,5173,6018,11191,0.000096936,0.000179974,0.000276910
seq-iter,718,0,718,0,0,257403,257403,0.000000000,0.001257690,0.001257690
seq-rec,718,0,718,0,0,257403,257403,0.000000000,0.003724919,0.003724919
bin-iter,718,0,718,0,6024,6876,12900,0.000104631,0.000165978,0.000270609
bin-rec,718,0,718,0,5921,6876,12797,0.000135269,0.000171936,0.000307205
