modo,lidos,previos,inseridos,redundantes,comp_ordenacao,comp_busca,comp_total,tempo_ordenacao_s,tempo_verificacao_s,tempo_total_s
seq-iter,160,0,160,0,0,12720,12720,0.000000000,0.000083831,0.000083831
seq-rec,160,0,160,0,0,12720,12720,0.000000000,0.000180206,0.000180206
bin-iter,160,0,160,0,1004,1186,2190,0.000019542,0.000032628,0.000052170
bin-rec,160,0,160,0,966,1186,2152,0.000021101,0.000034681,0.000055782
seq-iter,160,10,160,0,0,14320,14320,0.000000000,0.000096522,0.000096522
seq-rec,160,10,160,0,0,14320,14320,0.000000000,0.000270762,0.000270762
bin-iter,160,10,160,0,1029,1890,2919,0.000020254,0.000051843,0.000072097
bin-rec,160,10,160,0,988,1890,2878,0.000022667,0.000051867,0.000074534
seq-iter,160,20,160,0,0,15920,15920,0.000000000,0.000103372,0.000103372
seq-rec,160,20,160,0,0,15920,15920,0.000000000,0.000223264,0.000223264
bin-iter,160,20,160,0,1073,2088,3161,0.000021300,0.000052625,0.000073925
bin-rec,160,20,160,0,1029,2088,3117,0.000075177,0.000056173,0.000131350
seq-iter,160,40,160,0,0,19120,19120,0.000000000,0.000114487,0.000114487
seq-rec,160,40,160,0,0,19120,19120,0.000000000,0.000291503,0.000291503
bin-iter,160,40,160,0,1182,2231,3413,0.000023095,0.000051329,0.000074424
bin-rec,160,40,160,0,1131,2231,3362,0.000024332,0.000054657,0.000078989
seq-iter,160,80,160,0,0,25520,25520,0.000000000,0.000173259,0.000173259
seq-rec,160,80,160,0,0,25520,25520,0.000000000,0.000361144,0.000361144
bin-iter,160,80,160,0,1433,2354,3787,0.000026621,0.000075643,0.000102264
bin-rec,160,80,160,0,1374,2354,3728,0.000028774,0.000060780,0.000089554
seq-iter,160,160,160,0,0,38320,38320,0.000000000,0.000206131,0.000206131
seq-rec,160,160,160,0,0,38320,38320,0.000000000,0.000540903,0.000540903
bin-iter,160,160,160,0,2022,2538,4560,0.000034720,0.000087875,0.000122595
bin-rec,160,160,160,0,1945,2538,4483,0.000037314,0.000058358,0.000095672
