solucao,modo,n,comp_ordenacao,comp_busca,tempo_ordenacao_s,tempo_busca_s,tempo_total_s
1,seq-iter,1000,0,499500,0,0.002962616,0.002962616
1,seq-rec,1000,0,499500,0,0.008348738,0.008348738
1,seq-iter,2000,0,1999000,0,0.011924819,0.011924819
1,seq-rec,2000,0,1999000,0,0.036274115,0.036274115
1,seq-iter,4000,0,7998000,0,0.048931437,0.048931437
1,seq-rec,4000,0,7998000,0,0.149040984,0.149040984
1,seq-iter,8000,0,31996000,0,0.199481171,0.199481171
1,seq-rec,8000,0,31996000,0,0.609557389,0.609557389
2,bin-iter,1000,8725,9978,0.000121483,0.000124755,0.000250185
2,bin-rec,1000,8720,9978,0.000131785,0.000146466,0.000276381
2,bin-iter,2000,19385,21954,0.000309316,0.000325171,0.000638073
2,bin-rec,2000,19434,21954,0.000308858,0.000357591,0.000667221
2,bin-iter,4000,42872,47906,0.000701900,0.000777273,0.001476664
2,bin-rec,4000,42826,47906,0.000730041,0.000865061,0.001592113
2,bin-iter,8000,93748,103810,0.001566180,0.001747430,0.003312852
2,bin-rec,8000,93617,103810,0.001587212,0.001897337,0.003444970
2,bin-iter,16000,203455,223618,0.003603528,0.004498187,0.008054938
2,bin-rec,16000,203246,223618,0.003663488,0.004571198,0.008339772
2,bin-iter,32000,439095,479234,0.008328812,0.009469679,0.017993756
2,bin-rec,32000,438721,479234,0.008282839,0.010659305,0.019062007
2,bin-iter,64000,941979,1022466,0.019395244,0.022407149,0.041675427
2,bin-rec,64000,941092,1022466,0.017270408,0.024325523,0.041771415
2,bin-iter,128000,2012034,2172930,0.042537139,0.053842984,0.096319119
2,bin-rec,128000,2010108,2172930,0.037681247,0.060103296,0.097624375
2,bin-iter,256000,4280206,4601858,0.095540514,0.131828548,0.226898016
2,bin-rec,256000,4276271,4601858,0.083718316,0.148981090,0.233550678
2,bin-iter,512000,9071905,9715714,0.210940743,0.317521685,0.527291360
2,bin-rec,512000,9064233,9715714,0.188257199,0.374934878,0.566207960
