modo,lidos,previos,inseridos,redundantes,comp_ordenacao,comp_busca,comp_total,tempo_ordenacao_s,tempo_verificacao_s,tempo_total_s
seq-iter,10,0,10,0,0,45,45,0.000000000,0.000002538,0.000002538
seq-iter,10,0,10,0,0,45,45,0.000000000,0.000002551,0.000002551
seq-iter,10,0,10,0,0,45,45,0.000000000,0.000002475,0.000002475
seq-iter,10,0,10,0,0,45,45,0.000000000,0.000002582,0.000002582
seq-iter,10,0,10,0,0,45,45,0.000000000,0.000002487,0.000002487
seq-iter,10,0,10,0,0,45,45,0.000000000,0.000003208,0.000003208
seq-iter,10,0,10,0,0,45,45,0.000000000,0.000002381,0.000002381
seq-iter,10,0,10,0,0,45,45,0.000000000,0.000002435,0.000002435
seq-iter,10,0,10,0,0,45,45,0.000000000,0.000002530,0.000002530
seq-iter,10,0,10,0,0,45,45,0.000000000,0.000002691,0.000002691
seq-iter,10,0,10,0,0,45,45,0.000000000,0.000003962,0.000003962
seq-iter,10,0,10,0,0,45,45,0.000000000,0.000002493,0.000002493
seq-iter,10,0,10,0,0,45,45,0.000000000,0.000002490,0.000002490
seq-iter,10,0,10,0,0,45,45,0.000000000,0.000002531,0.000002531
seq-iter,10,0,10,0,0,45,45,0.000000000,0.000002558,0.000002558
seq-rec,10,0,10,0,0,45,45,0.000000000,0.000002777,0.000002777
seq-rec,10,0,10,0,0,45,45,0.000000000,0.000002947,0.000002947
seq-rec,10,0,10,0,0,45,45,0.000000000,0.000002981,0.000002981
seq-rec,10,0,10,0,0,45,45,0.000000000,0.000002883,0.000002883
seq-rec,10,0,10,0,0,45,45,0.000000000,0.000002847,0.000002847
seq-rec,10,0,10,0,0,45,45,0.000000000,0.000002755,0.000002755
seq-rec,10,0,10,0,0,45,45,0.000000000,0.000002704,0.000002704
seq-rec,10,0,10,0,0,45,45,0.000000000,0.000002644,0.000002644
seq-rec,10,0,10,0,0,45,45,0.000000000,0.000002844,0.000002844
seq-rec,10,0,10,0,0,45,45,0.000000000,0.000004136,0.000004136
seq-rec,10,0,10,0,0,45,45,0.000000000,0.000002930,0.000002930
seq-rec,10,0,10,0,0,45,45,0.000000000,0.000002636,0.000002636
seq-rec,10,0,10,0,0,45,45,0.000000000,0.000003070,0.000003070
seq-rec,10,0,10,0,0,45,45,0.000000000,0.000003485,0.000003485
seq-rec,10,0,10,0,0,45,45,0.000000000,0.000002953,0.000002953
bin-iter,10,0,10,0,27,36,63,0.000001530,0.000003301,0.000004831
bin-iter,10,0,10,0,27,36,63,0.000001549,0.000003177,0.000004726
bin-iter,10,0,10,0,27,36,63,0.000001463,0.000003269,0.000004732
bin-iter,10,0,10,0,27,36,63,0.000001581,0.000003294,0.000004875
bin-iter,10,0,10,0,27,36,63,0.000001634,0.000003352,0.000004986
bin-iter,10,0,10,0,27,36,63,0.000001641,0.000003515,0.000005156
bin-iter,10,0,10,0,27,36,63,0.000001507,0.000003379,0.000004886
bin-iter,10,0,10,0,27,36,63,0.000001600,0.000003146,0.000004746
bin-iter,10,0,10,0,27,36,63,0.000001572,0.000003658,0.000005230
bin-iter,10,0,10,0,27,36,63,0.000001472,0.000003518,0.000004990
bin-iter,10,0,10,0,27,36,63,0.000001901,0.000004092,0.000005993
bin-iter,10,0,10,0,27,36,63,0.000001889,0.000007441,0.000009330
bin-iter,10,0,10,0,27,36,63,0.000001606,0.000003372,0.000004978
bin-iter,10,0,10,0,27,36,63,0.000001589,0.000003471,0.000005060
bin-iter,10,0,10,0,27,36,63,0.000001543,0.000003493,0.000005036
bin-rec,10,0,10,0,22,36,58,0.000001569,0.000003348,0.000004917
bin-rec,10,0,10,0,22,36,58,0.000001568,0.000003472,0.000005040
bin-rec,10,0,10,0,22,36,58,0.000001579,0.000003736,0.000005315
bin-rec,10,0,10,0,22,36,58,0.000001574,0.000003522,0.000005096
bin-rec,10,0,10,0,22,36,58,0.000001474,0.000006269,0.000007743
bin-rec,10,0,10,0,22,36,58,0.000001665,0.000003518,0.000005183
bin-rec,10,0,10,0,22,36,58,0.000001629,0.000003281,0.000004910
bin-rec,10,0,10,0,22,36,58,0.000001650,0.000003447,0.000005097
bin-rec,10,0,10,0,22,36,58,0.000001550,0.000003433,0.000004983
bin-rec,10,0,10,0,22,36,58,0.000001651,0.000003684,0.000005335
bin-rec,10,0,10,0,22,36,58,0.000001703,0.000003605,0.000005308
bin-rec,10,0,10,0,22,36,58,0.000001650,0.000003482,0.000005132
bin-rec,10,0,10,0,22,36,58,0.000001548,0.000003461,0.000005009
bin-rec,10,0,10,0,22,36,58,0.000001544,0.000003278,0.000004822
bin-rec,10,0,10,0,22,36,58,0.000001454,0.000003357,0.000004811
seq-iter,20,0,20,0,0,190,190,0.000000000,0.000005992,0.000005992
seq-iter,20,0,20,0,0,190,190,0.000000000,0.000005565,0.000005565
seq-iter,20,0,20,0,0,190,190,0.000000000,0.000005777,0.000005777
seq-iter,20,0,20,0,0,190,190,0.000000000,0.000005626,0.000005626
seq-iter,20,0,20,0,0,190,190,0.000000000,0.000005709,0.000005709
seq-iter,20,0,20,0,0,190,190,0.000000000,0.000026686,0.000026686
seq-iter,20,0,20,0,0,190,190,0.000000000,0.000084179,0.000084179
seq-iter,20,0,20,0,0,190,190,0.000000000,0.000005883,0.000005883
seq-iter,20,0,20,0,0,190,190,0.000000000,0.000006200,0.000006200
seq-iter,20,0,20,0,0,190,190,0.000000000,0.000006397,0.000006397
seq-iter,20,0,20,0,0,190,190,0.000000000,0.000005886,0.000005886
seq-iter,20,0,20,0,0,190,190,0.000000000,0.000005674,0.000005674
seq-iter,20,0,20,0,0,190,190,0.000000000,0.000006164,0.000006164
seq-iter,20,0,20,0,0,190,190,0.000000000,0.000005655,0.000005655
seq-iter,20,0,20,0,0,190,190,0.000000000,0.000005548,0.000005548
seq-rec,20,0,20,0,0,190,190,0.000000000,0.000006136,0.000006136
seq-rec,20,0,20,0,0,190,190,0.000000000,0.000006456,0.000006456
seq-rec,20,0,20,0,0,190,190,0.000000000,0.000006115,0.000006115
seq-rec,20,0,20,0,0,190,190,0.000000000,0.000006173,0.000006173
seq-rec,20,0,20,0,0,190,190,0.000000000,0.000007834,0.000007834
seq-rec,20,0,20,0,0,190,190,0.000000000,0.000005943,0.000005943
seq-rec,20,0,20,0,0,190,190,0.000000000,0.000006161,0.000006161
seq-rec,20,0,20,0,0,190,190,0.000000000,0.000006306,0.000006306
seq-rec,20,0,20,0,0,190,190,0.000000000,0.000008217,0.000008217
seq-rec,20,0,20,0,0,190,190,0.000000000,0.000005985,0.000005985
seq-rec,20,0,20,0,0,190,190,0.000000000,0.000006106,0.000006106
seq-rec,20,0,20,0,0,190,190,0.000000000,0.000006116,0.000006116
seq-rec,20,0,20,0,0,190,190,0.000000000,0.000006146,0.000006146
seq-rec,20,0,20,0,0,190,190,0.000000000,0.000006080,0.000006080
seq-rec,20,0,20,0,0,190,190,0.000000000,0.000008008,0.000008008
bin-iter,20,0,20,0,67,90,157,0.000002417,0.000004942,0.000007359
bin-iter,20,0,20,0,67,90,157,0.000002611,0.000004907,0.000007518
bin-iter,20,0,20,0,67,90,157,0.000002592,0.000004880,0.000007472
bin-iter,20,0,20,0,67,90,157,0.000002185,0.000004866,0.000007051
bin-iter,20,0,20,0,67,90,157,0.000002619,0.000024522,0.000027141
bin-iter,20,0,20,0,67,90,157,0.000002552,0.000004917,0.000007469
bin-iter,20,0,20,0,67,90,157,0.000002710,0.000004982,0.000007692
bin-iter,20,0,20,0,67,90,157,0.000002559,0.000005177,0.000007736
bin-iter,20,0,20,0,67,90,157,0.000002223,0.000005037,0.000007260
bin-iter,20,0,20,0,67,90,157,0.000002627,0.000005194,0.000007821
bin-iter,20,0,20,0,67,90,157,0.000002661,0.000005125,0.000007786
bin-iter,20,0,20,0,67,90,157,0.000002413,0.000005052,0.000007465
bin-iter,20,0,20,0,67,90,157,0.000002543,0.000005187,0.000007730
bin-iter,20,0,20,0,67,90,157,0.000002504,0.000005339,0.000007843
bin-iter,20,0,20,0,67,90,157,0.000002410,0.000004731,0.000007141
bin-rec,20,0,20,0,64,90,154,0.000002884,0.000004969,0.000007853
bin-rec,20,0,20,0,64,90,154,0.000002656,0.000005176,0.000007832
bin-rec,20,0,20,0,64,90,154,0.000002908,0.000005085,0.000007993
bin-rec,20,0,20,0,64,90,154,0.000002966,0.000005110,0.000008076
bin-rec,20,0,20,0,64,90,154,0.000002994,0.000005421,0.000008415
bin-rec,20,0,20,0,64,90,154,0.000002762,0.000005060,0.000007822
bin-rec,20,0,20,0,64,90,154,0.000003050,0.000005288,0.000008338
bin-rec,20,0,20,0,64,90,154,0.000002747,0.000005025,0.000007772
bin-rec,20,0,20,0,64,90,154,0.000002924,0.000005415,0.000008339
bin-rec,20,0,20,0,64,90,154,0.000002800,0.000005115,0.000007915
bin-rec,20,0,20,0,64,90,154,0.000003104,0.000005854,0.000008958
bin-rec,20,0,20,0,64,90,154,0.000003058,0.000005368,0.000008426
bin-rec,20,0,20,0,64,90,154,0.000002758,0.000005244,0.000008002
bin-rec,20,0,20,0,64,90,154,0.000003234,0.000005321,0.000008555
bin-rec,20,0,20,0,64,90,154,0.000003171,0.000005253,0.000008424
seq-iter,40,0,40,0,0,780,780,0.000000000,0.000012442,0.000012442
seq-iter,40,0,40,0,0,780,780,0.000000000,0.000015539,0.000015539
seq-iter,40,0,40,0,0,780,780,0.000000000,0.000039639,0.000039639
seq-iter,40,0,40,0,0,780,780,0.000000000,0.000013823,0.000013823
seq-iter,40,0,40,0,0,780,780,0.000000000,0.000011345,0.000011345
seq-iter,40,0,40,0,0,780,780,0.000000000,0.000010852,0.000010852
seq-iter,40,0,40,0,0,780,780,0.000000000,0.000011313,0.000011313
seq-iter,40,0,40,0,0,780,780,0.000000000,0.000017869,0.000017869
seq-iter,40,0,40,0,0,780,780,0.000000000,0.000013909,0.000013909
seq-iter,40,0,40,0,0,780,780,0.000000000,0.000012639,0.000012639
seq-iter,40,0,40,0,0,780,780,0.000000000,0.000010870,0.000010870
seq-iter,40,0,40,0,0,780,780,0.000000000,0.000016095,0.000016095
seq-iter,40,0,40,0,0,780,780,0.000000000,0.000011019,0.000011019
seq-iter,40,0,40,0,0,780,780,0.000000000,0.000012917,0.000012917
seq-iter,40,0,40,0,0,780,780,0.000000000,0.000011036,0.000011036
seq-rec,40,0,40,0,0,780,780,0.000000000,0.000013225,0.000013225
seq-rec,40,0,40,0,0,780,780,0.000000000,0.000013424,0.000013424
seq-rec,40,0,40,0,0,780,780,0.000000000,0.000014690,0.000014690
seq-rec,40,0,40,0,0,780,780,0.000000000,0.000013772,0.000013772
seq-rec,40,0,40,0,0,780,780,0.000000000,0.000013023,0.000013023
seq-rec,40,0,40,0,0,780,780,0.000000000,0.000014797,0.000014797
seq-rec,40,0,40,0,0,780,780,0.000000000,0.000014375,0.000014375
seq-rec,40,0,40,0,0,780,780,0.000000000,0.000016919,0.000016919
seq-rec,40,0,40,0,0,780,780,0.000000000,0.000013284,0.000013284
seq-rec,40,0,40,0,0,780,780,0.000000000,0.000013229,0.000013229
seq-rec,40,0,40,0,0,780,780,0.000000000,0.000013888,0.000013888
seq-rec,40,0,40,0,0,780,780,0.000000000,0.000013011,0.000013011
seq-rec,40,0,40,0,0,780,780,0.000000000,0.000013302,0.000013302
seq-rec,40,0,40,0,0,780,780,0.000000000,0.000015668,0.000015668
seq-rec,40,0,40,0,0,780,780,0.000000000,0.000013193,0.000013193
bin-iter,40,0,40,0,177,218,395,0.000005025,0.000008085,0.000013110
bin-iter,40,0,40,0,177,218,395,0.000005012,0.000008022,0.000013034
bin-iter,40,0,40,0,177,218,395,0.000004818,0.000009942,0.000014760
bin-iter,40,0,40,0,177,218,395,0.000006130,0.000010431,0.000016561
bin-iter,40,0,40,0,177,218,395,0.000011970,0.000008659,0.000020629
bin-iter,40,0,40,0,177,218,395,0.000004767,0.000017441,0.000022208
bin-iter,40,0,40,0,177,218,395,0.000005184,0.000007843,0.000013027
bin-iter,40,0,40,0,177,218,395,0.000004791,0.000008030,0.000012821
bin-iter,40,0,40,0,177,218,395,0.000005257,0.000008146,0.000013403
bin-iter,40,0,40,0,177,218,395,0.000005255,0.000008998,0.000014253
bin-iter,40,0,40,0,177,218,395,0.000004731,0.000009782,0.000014513
bin-iter,40,0,40,0,177,218,395,0.000005181,0.000008500,0.000013681
bin-iter,40,0,40,0,177,218,395,0.000004837,0.000009988,0.000014825
bin-iter,40,0,40,0,177,218,395,0.000005186,0.000007930,0.000013116
bin-iter,40,0,40,0,177,218,395,0.000005224,0.000010854,0.000016078
bin-rec,40,0,40,0,167,218,385,0.000005149,0.000008709,0.000013858
bin-rec,40,0,40,0,167,218,385,0.000005769,0.000009070,0.000014839
bin-rec,40,0,40,0,167,218,385,0.000005925,0.000008082,0.000014007
bin-rec,40,0,40,0,167,218,385,0.000005803,0.000008822,0.000014625
bin-rec,40,0,40,0,167,218,385,0.000005959,0.000008874,0.000014833
bin-rec,40,0,40,0,167,218,385,0.000005470,0.000010590,0.000016060
bin-rec,40,0,40,0,167,218,385,0.000005696,0.000010834,0.000016530
bin-rec,40,0,40,0,167,218,385,0.000005809,0.000012407,0.000018216
bin-rec,40,0,40,0,167,218,385,0.000005349,0.000008326,0.000013675
bin-rec,40,0,40,0,167,218,385,0.000005519,0.000010399,0.000015918
bin-rec,40,0,40,0,167,218,385,0.000009382,0.000008813,0.000018195
bin-rec,40,0,40,0,167,218,385,0.000005764,0.000010038,0.000015802
bin-rec,40,0,40,0,167,218,385,0.000006256,0.000008989,0.000015245
bin-rec,40,0,40,0,167,218,385,0.000005826,0.000008748,0.000014574
bin-rec,40,0,40,0,167,218,385,0.000005522,0.000030504,0.000036026
seq-iter,80,0,80,0,0,3160,3160,0.000000000,0.000032421,0.000032421
seq-iter,80,0,80,0,0,3160,3160,0.000000000,0.000033302,0.000033302
seq-iter,80,0,80,0,0,3160,3160,0.000000000,0.000025192,0.000025192
seq-iter,80,0,80,0,0,3160,3160,0.000000000,0.000025487,0.000025487
seq-iter,80,0,80,0,0,3160,3160,0.000000000,0.000025155,0.000025155
seq-iter,80,0,80,0,0,3160,3160,0.000000000,0.000026409,0.000026409
seq-iter,80,0,80,0,0,3160,3160,0.000000000,0.000035857,0.000035857
seq-iter,80,0,80,0,0,3160,3160,0.000000000,0.000024888,0.000024888
seq-iter,80,0,80,0,0,3160,3160,0.000000000,0.000025163,0.000025163
seq-iter,80,0,80,0,0,3160,3160,0.000000000,0.000025572,0.000025572
seq-iter,80,0,80,0,0,3160,3160,0.000000000,0.000025552,0.000025552
seq-iter,80,0,80,0,0,3160,3160,0.000000000,0.000024651,0.000024651
seq-iter,80,0,80,0,0,3160,3160,0.000000000,0.000025314,0.000025314
seq-iter,80,0,80,0,0,3160,3160,0.000000000,0.000026488,0.000026488
seq-iter,80,0,80,0,0,3160,3160,0.000000000,0.000027681,0.000027681
seq-rec,80,0,80,0,0,3160,3160,0.000000000,0.000047689,0.000047689
seq-rec,80,0,80,0,0,3160,3160,0.000000000,0.000044733,0.000044733
seq-rec,80,0,80,0,0,3160,3160,0.000000000,0.000043997,0.000043997
seq-rec,80,0,80,0,0,3160,3160,0.000000000,0.000043659,0.000043659
seq-rec,80,0,80,0,0,3160,3160,0.000000000,0.000044410,0.000044410
seq-rec,80,0,80,0,0,3160,3160,0.000000000,0.000046872,0.000046872
seq-rec,80,0,80,0,0,3160,3160,0.000000000,0.000046873,0.000046873
seq-rec,80,0,80,0,0,3160,3160,0.000000000,0.000043460,0.000043460
seq-rec,80,0,80,0,0,3160,3160,0.000000000,0.000042984,0.000042984
seq-rec,80,0,80,0,0,3160,3160,0.000000000,0.000042371,0.000042371
seq-rec,80,0,80,0,0,3160,3160,0.000000000,0.000042703,0.000042703
seq-rec,80,0,80,0,0,3160,3160,0.000000000,0.000065525,0.000065525
seq-rec,80,0,80,0,0,3160,3160,0.000000000,0.000042213,0.000042213
seq-rec,80,0,80,0,0,3160,3160,0.000000000,0.000044686,0.000044686
seq-rec,80,0,80,0,0,3160,3160,0.000000000,0.000055221,0.000055221
bin-iter,80,0,80,0,420,514,934,0.000009252,0.000015215,0.000024467
bin-iter,80,0,80,0,420,514,934,0.000011390,0.000018457,0.000029847
bin-iter,80,0,80,0,420,514,934,0.000010157,0.000016037,0.000026194
bin-iter,80,0,80,0,420,514,934,0.000011907,0.000018297,0.000030204
bin-iter,80,0,80,0,420,514,934,0.000010980,0.000015468,0.000026448
bin-iter,80,0,80,0,420,514,934,0.000009338,0.000015490,0.000024828
bin-iter,80,0,80,0,420,514,934,0.000009582,0.000015253,0.000024835
bin-iter,80,0,80,0,420,514,934,0.000013521,0.000014919,0.000028440
bin-iter,80,0,80,0,420,514,934,0.000008945,0.000014559,0.000023504
bin-iter,80,0,80,0,420,514,934,0.000010022,0.000014654,0.000024676
bin-iter,80,0,80,0,420,514,934,0.000009562,0.000015351,0.000024913
bin-iter,80,0,80,0,420,514,934,0.000009473,0.000015036,0.000024509
bin-iter,80,0,80,0,420,514,934,0.000010108,0.000015846,0.000025954
bin-iter,80,0,80,0,420,514,934,0.000009809,0.000014880,0.000024689
bin-iter,80,0,80,0,420,514,934,0.000009621,0.000014526,0.000024147
bin-rec,80,0,80,0,412,514,926,0.000010781,0.000016233,0.000027014
bin-rec,80,0,80,0,412,514,926,0.000010973,0.000017752,0.000028725
bin-rec,80,0,80,0,412,514,926,0.000010375,0.000016762,0.000027137
bin-rec,80,0,80,0,412,514,926,0.000011625,0.000015787,0.000027412
bin-rec,80,0,80,0,412,514,926,0.000010336,0.000015031,0.000025367
bin-rec,80,0,80,0,412,514,926,0.000010849,0.000015548,0.000026397
bin-rec,80,0,80,0,412,514,926,0.000010680,0.000016995,0.000027675
bin-rec,80,0,80,0,412,514,926,0.000010616,0.000016033,0.000026649
bin-rec,80,0,80,0,412,514,926,0.000011571,0.000015174,0.000026745
bin-rec,80,0,80,0,412,514,926,0.000011222,0.000016423,0.000027645
bin-rec,80,0,80,0,412,514,926,0.000011112,0.000026323,0.000037435
